game_id,gamer_id,game_date,game_time,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
14951680217272270190,gs25#11901,2020-08-17,11:41:06 PM,5,3,0,1.67,"2,911","4,025",146.36,0,1,2,3,27m 30s,"17,833","4,325","13,121",0,30,0,0,1,0,2,"441,655",93.9%,26m 12s,0,0,2,636,1,3,4,2
16612049118592201819,gs25#11901,2020-08-17,11:11:44 PM,4,1,0,4.00,"2,657","5,725",202.30,0,1,3,3,28m 18s,"20,668","6,225","12,903",0,280,0,0,2,0,0,"257,576",97.5%,26m 04s,0,0,3,"1,015",3,4,5,7
4989682221071056907,gs25#11901,2020-08-17,10:42:30 PM,10,2,0,5.00,"4,194","9,600",342.65,0,3,1,1,28m 01s,"29,577","12,720","13,161",0,920,0,0,4,1,1,"441,766",86.0%,26m 28s,0,0,4,874,3,5,10,6
10910800995187449254,gs25#11901,2020-08-17,10:37:41 PM,1,1,0,1.00,118,550,140.43,0,0,,37,03m 55s,"1,543",650,893,0,0,0,0,,1,0,"186,661",97.7%,02m 13s,0,0,,272,1,,1,2
17178160169281545453,gs25#11901,2020-08-17,10:31:46 PM,1,2,0,0.50,265,525,119.32,0,0,,49,04m 24s,"1,928",725,"1,193",0,10,0,0,1,0,1,"242,720",71.4%,03m 15s,0,0,,317,,1,1,
11241832392269774456,gs25#11901,2020-08-16,11:14:59 PM,2,2,0,1.00,845,925,130.59,0,0,,35,07m 05s,"3,711","1,425","2,266",0,20,0,0,,1,0,"204,681",88.2%,05m 39s,0,0,,532,1,1,1,2
17414335490099552516,gs25#11901,2020-08-16,10:59:41 PM,2,3,0,0.67,879,700,56.45,0,0,,26,12m 24s,"6,812","1,520","5,242",0,50,0,0,,0,2,"321,247",77.8%,11m 06s,0,0,,592,2,,0,3
4794064184118088964,gs25#11901,2020-08-16,10:51:09 PM,1,2,0,0.50,472,"1,125",155.89,0,0,,32,07m 13s,"3,637","1,125","2,512",0,0,0,0,,0,1,"210,685",89.7%,05m 54s,0,0,1,362,,1,1,4
15282175375476925575,gs25#11901,2020-08-16,10:41:21 PM,2,2,0,1.00,707,"1,325",158.37,0,0,1,34,08m 22s,"6,645","4,045","2,590",0,10,0,0,,1,0,"298,924",94.3%,07m 02s,0,0,1,267,2,1,2,1
14527932793029979442,gs25#11901,2020-08-16,10:11:49 PM,8,1,0,8.00,"2,791","7,025",249.41,0,1,2,3,28m 10s,"24,911","9,010","13,064",0,350,0,0,1,0,0,"311,574",94.3%,26m 46s,0,0,3,656,2,6,7,3
11574186447550017631,gs25#11901,2020-08-16,9:49:10 PM,3,4,0,0.75,"1,290","7,050",326.89,0,1,2,7,21m 34s,"20,841","9,770","10,947",0,50,0,0,,1,2,"341,761",81.1%,20m 08s,0,0,6,"1,295",2,4,4,4
3100980459093569714,gs25#11901,2020-08-16,9:18:51 PM,10,3,0,3.33,"4,462","8,250",302.57,0,3,1,1,27m 16s,"28,612","12,210","13,261",0,410,0,0,1,1,2,"510,822",95.3%,26m 05s,0,0,4,830,3,8,9,2
7422722263897817468,gs25#11901,2020-08-16,8:51:06 PM,5,1,0,5.00,"3,163","5,700",218.81,0,3,,3,26m 03s,"20,774","6,700","12,961",0,370,0,0,3,0,0,"315,197",97.1%,25m 31s,0,0,3,764,1,5,8,4
18400227300808406987,gs25#11901,2020-08-16,8:37:34 PM,3,2,0,1.50,802,"3,950",296.25,0,3,,27,13m 20s,"9,791","4,550","5,107",0,80,0,0,1,1,0,"310,543",87.6%,12m 09s,0,0,2,581,1,2,3,7
4288954097006684764,gs25#11901,2020-08-16,8:02:38 PM,4,3,0,1.33,"1,162","4,175",188.35,0,0,,8,22m 10s,"16,326","5,595","10,691",0,40,0,0,,1,1,"511,962",75.7%,20m 39s,0,0,3,670,3,1,1,5
11645254861986252222,gs25#11901,2020-08-16,4:10:10 PM,4,2,0,2.00,"2,614","3,775",143.99,0,1,,6,26m 13s,"15,646","3,775","11,704",0,45,0,0,1,1,0,"457,792",75.0%,24m 11s,0,0,2,"1,060",3,2,3,7
15434382295205941814,gs25#11901,2020-08-16,3:42:57 PM,6,1,0,6.00,"3,522","8,825",342.28,0,0,2,7,25m 47s,"24,818","12,505","11,744",0,75,0,0,,0,0,"382,353",94.7%,24m 21s,0,0,5,356,4,4,4,7
